Training Enformer model
Starting distributed training using '/home/lukezeng/chromatin-state-prediction/sample/binned_dataframe_enformer/train_shards'...
Computing class weights from dataset...
Computing class weights from dataset...
Computing class weights from dataset...
Computing class weights from dataset...
Computed class weights: tensor([4.9079e-01, 3.6471e+00, 2.4216e-01, 2.5659e-01, 1.5979e-02, 1.5975e-02,
        2.4998e-01, 1.4336e+00, 2.2534e-01, 1.0285e+01, 2.7438e-02, 6.4654e-02,
        3.0592e-02, 3.9714e-01, 5.6624e-01, 3.4207e-02, 1.5507e-02, 1.8380e-03],
Epoch 0 | Step 3300 | Loss: 0.8388
Epoch 0 | Step 3310 | Loss: 0.6117
Epoch 0 | Step 3320 | Loss: 0.6689
Epoch 0 | Step 3330 | Loss: 0.5655
Epoch 0 | Step 3340 | Loss: 0.8423
Epoch 0 | Step 3350 | Loss: 0.7474
Epoch 0 | Step 3360 | Loss: 0.6126
Epoch 0 | Step 3370 | Loss: 0.7074
Epoch 0 | Step 3380 | Loss: 0.7346
Epoch 0 | Step 3390 | Loss: 0.7473
Epoch 0 | Step 3400 | Loss: 0.7579
Epoch 0 | Step 3410 | Loss: 0.6864
Epoch 0 | Step 3420 | Loss: 0.8133
Epoch 0 | Step 3430 | Loss: 0.7272
Epoch 0 | Step 3440 | Loss: 0.6854
Epoch 0 | Step 3450 | Loss: 0.7263
Epoch 0 | Step 3460 | Loss: 0.6521
Epoch 0 | Step 3470 | Loss: 0.6929
Epoch 0 | Step 3480 | Loss: 0.8319
Epoch 0 | Step 3490 | Loss: 0.7439
Epoch 0 | Step 3500 | Loss: 0.7448
Epoch 0 | Step 3510 | Loss: 0.6084
Epoch 0 | Step 3520 | Loss: 0.6962
Epoch 0 | Step 3530 | Loss: 0.5716
Epoch 0 | Step 3540 | Loss: 0.8730
Epoch 0 | Step 3550 | Loss: 0.7803
Epoch 0 | Step 3560 | Loss: 0.8801
Epoch 0 | Step 3570 | Loss: 0.7696
Epoch 0 | Step 3580 | Loss: 0.6512
Epoch 0 | Step 3590 | Loss: 0.6952
Epoch 0 | Step 3600 | Loss: 0.7545
Epoch 0 | Step 3610 | Loss: 0.6948
Epoch 0 | Step 3620 | Loss: 0.6392
Epoch 0 | Step 3630 | Loss: 0.6911
Epoch 0 | Step 3640 | Loss: 0.8978
Epoch 0 | Step 3650 | Loss: 0.6989
Epoch 0 | Step 3660 | Loss: 0.7772
Epoch 0 | Step 3670 | Loss: 0.8037
Epoch 0 | Step 3680 | Loss: 0.6814
Epoch 0 | Step 3690 | Loss: 0.6078
Epoch 0 | Step 3700 | Loss: 0.6665
Epoch 0 | Step 3710 | Loss: 0.6424
Epoch 0 | Step 3720 | Loss: 0.6103
Epoch 0 | Step 3730 | Loss: 0.8802
Epoch 0 | Step 3740 | Loss: 0.6619
Epoch 0 | Step 3750 | Loss: 0.8422
Epoch 0 | Step 3760 | Loss: 0.6709
Epoch 0 | Step 3770 | Loss: 0.6103
Epoch 0 | Step 3780 | Loss: 0.6351
Epoch 0 | Step 3790 | Loss: 0.7542
Epoch 0 | Step 3800 | Loss: 0.6653
Epoch 0 | Step 3810 | Loss: 0.5971
Epoch 0 | Step 3820 | Loss: 0.8044
Epoch 0 | Step 3830 | Loss: 0.8517
Epoch 0 | Step 3840 | Loss: 0.8315
Epoch 0 | Step 3850 | Loss: 0.6570
Epoch 0 | Step 3860 | Loss: 0.7015
Epoch 0 | Step 3870 | Loss: 0.5965
Epoch 0 | Step 3880 | Loss: 0.7526
Epoch 0 | Step 3890 | Loss: 0.7358
Epoch 0 | Step 3900 | Loss: 0.9595
Epoch 0 | Step 3910 | Loss: 1.0376
Epoch 0 | Step 3920 | Loss: 0.8913
Epoch 0 | Step 3930 | Loss: 0.7492
Epoch 0 | Step 3940 | Loss: 0.8087
Epoch 0 | Step 3950 | Loss: 0.7548
Epoch 0 | Step 3960 | Loss: 0.6693
Epoch 0 | Step 3970 | Loss: 0.6396
Epoch 0 | Step 3980 | Loss: 0.6052
Epoch 0 | Step 3990 | Loss: 0.7915
Epoch 0 | Step 4000 | Loss: 0.6102
Saving checkpoint to /home/lukezeng/chromatin-state-prediction/playground/checkpoints/enformer_step_4000.pt...
Deleted old checkpoint: enformer_step_1000.pt
Epoch 0 | Step 4010 | Loss: 0.6172
Epoch 0 | Step 4020 | Loss: 0.6703
Epoch 0 | Step 4030 | Loss: 0.6448
Epoch 0 | Step 4040 | Loss: 0.7032
Epoch 0 | Step 4050 | Loss: 0.7509
Epoch 0 | Step 4060 | Loss: 1.0672
Epoch 0 | Step 4070 | Loss: 0.6896
Epoch 0 | Step 4080 | Loss: 0.7018
Epoch 0 | Step 4090 | Loss: 0.9172
Epoch 0 | Step 4100 | Loss: 1.0971
Epoch 0 | Step 4110 | Loss: 0.7768
Epoch 0 | Step 4120 | Loss: 0.7799
Epoch 0 | Step 4130 | Loss: 0.8606
Epoch 0 | Step 4140 | Loss: 0.8028
Epoch 0 | Step 4150 | Loss: 0.6740
Epoch 0 | Step 4160 | Loss: 0.7218
Epoch 0 | Step 4170 | Loss: 0.7471
Epoch 0 | Step 4180 | Loss: 0.8197
Epoch 0 | Step 4190 | Loss: 0.6903
Epoch 0 | Step 4200 | Loss: 0.8251
Epoch 0 | Step 4210 | Loss: 0.6871
Epoch 0 | Step 4220 | Loss: 0.7262
Epoch 0 | Step 4230 | Loss: 0.7947
Epoch 0 | Step 4240 | Loss: 0.8035
Epoch 0 | Step 4250 | Loss: 0.7355
--- Epoch 0 Validation Loss: 1.6333 ---
Epoch 1 | Step 4260 | Loss: 0.7127
Epoch 1 | Step 4270 | Loss: 0.8128
Epoch 1 | Step 4280 | Loss: 0.6453
Epoch 1 | Step 4290 | Loss: 0.7770
Epoch 1 | Step 4300 | Loss: 0.6770
Epoch 1 | Step 4310 | Loss: 0.7139
Epoch 1 | Step 4320 | Loss: 0.7470
Epoch 1 | Step 4330 | Loss: 0.8049
Epoch 1 | Step 4340 | Loss: 0.6914
Epoch 1 | Step 4350 | Loss: 0.7239
Epoch 1 | Step 4360 | Loss: 0.6550
Epoch 1 | Step 4370 | Loss: 0.7754
Epoch 1 | Step 4380 | Loss: 0.7435
Epoch 1 | Step 4390 | Loss: 0.8201
Epoch 1 | Step 4400 | Loss: 0.6606
